account,nonce,index,credential_creation_date,credential_valid_to_date,credential_count,total_balance,unlocked_balance,locked_balance,baker_id,staked_amount,restake_earnings,pool_status,pool_metadata_url,pool_transaction_commission,pool_finalization_commission,pool_baking_commission,is_suspended,delegation_target,ip_identity_credential_0
2wkEiDDDhWLset4GT4TPVutLArbvKfTsP7VYhhA776aTmvHcNB,2,33609,2021-12-01,2026-12-01,1,70.022167,70.022167,0.0,,,,,,,,,,,1
2wkMvqseiVVZQJD6R2EZ9PS6Y23So84mPkzWFyRWJYzoLzyY2d,1,79308,2022-02-01,2027-02-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wkPrQd6ejfcE8hQsUhQAkV2TKbsX58FAafGpCLuxr6iKeoNHb,1,8160,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wkdCuiFEihoQh9iiG6U8H4dCRPqaXPsHsFevJpaBmXQfneYuE,1,58896,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wkiJ3sJfYWwphFvYAQhseA5zJtGJiEqXyMBUiedXA9Xxq15H9,1,103148,2025-10-01,2030-10-01,1,0.0,0.0,0.0,,,,,,,,,,,1
2wkiz4N1iVzAsPWXbQ8FtqctijU7uWFQaP5Jno8oMKfBi3njvr,1,45087,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wkpAgavJRHPB836ki65xfn2WtbxfsiMC4vjCb2EzouBGeq1uv,1,27684,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wm1Rb7uJevWPPTQA1G8bD1UnaerSXMsAFMCZQi4t8vbAUHaka,1,38544,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wm3KTAoBoyaAQhdnxd3o6mENucSwGyKrjXuu6RiUs7AQ4DUo7,1,11886,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wm4HCd9nxxBKBSUrHogfjfqU9HPsHrmpeZWZmkmn4mAHkSe8V,2,18164,2021-12-01,2026-12-01,1,70.472167,70.472167,0.0,,,,,,,,,,,1
2wm6GFa1mCbE57wzsxPXjXy4EWoytEGkQ83tqtbbVbbXzk2zBj,1,26272,2021-12-01,2026-12-01,1,124.000001,124.000001,0.0,,,,,,,,,,,1
2wm8R23BiLm29czFWn8YMKm6BfgNJ4uzxnL1zRZV2pk99Hty8w,1,40956,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
2wmBRL3fcJh2FDQ46Z3ooDjhLWm11Q6KZCTyTFmRYcPzCXeeYe,1,52560,2021-12-01,2026-12-01,1,70.000001,70.000001,0.0,,,,,,,,,,,1
