account_address,account_index,USDR,EURR,t-USDT,t-USDC
2wkEiDDDhWLset4GT4TPVutLArbvKfTsP7VYhhA776aTmvHcNB,33609,0.0,0.0,0.0,0.0
2wkMvqseiVVZQJD6R2EZ9PS6Y23So84mPkzWFyRWJYzoLzyY2d,79308,0.0,0.0,0.0,0.0
2wkPrQd6ejfcE8hQsUhQAkV2TKbsX58FAafGpCLuxr6iKeoNHb,8160,0.0,0.0,0.0,0.0
2wkdCuiFEihoQh9iiG6U8H4dCRPqaXPsHsFevJpaBmXQfneYuE,58896,0.0,0.0,0.0,0.0
2wkiJ3sJfYWwphFvYAQhseA5zJtGJiEqXyMBUiedXA9Xxq15H9,103148,0.0,0.0,0.0,0.0
2wkiz4N1iVzAsPWXbQ8FtqctijU7uWFQaP5Jno8oMKfBi3njvr,45087,0.0,0.0,0.0,0.0
2wkpAgavJRHPB836ki65xfn2WtbxfsiMC4vjCb2EzouBGeq1uv,27684,0.0,0.0,0.0,0.0
2wm1Rb7uJevWPPTQA1G8bD1UnaerSXMsAFMCZQi4t8vbAUHaka,38544,0.0,0.0,0.0,0.0
2wm3KTAoBoyaAQhdnxd3o6mENucSwGyKrjXuu6RiUs7AQ4DUo7,11886,0.0,0.0,0.0,0.0
2wm4HCd9nxxBKBSUrHogfjfqU9HPsHrmpeZWZmkmn4mAHkSe8V,18164,0.0,0.0,0.0,0.0
2wm6GFa1mCbE57wzsxPXjXy4EWoytEGkQ83tqtbbVbbXzk2zBj,26272,0.0,0.0,0.0,0.0
2wm8R23BiLm29czFWn8YMKm6BfgNJ4uzxnL1zRZV2pk99Hty8w,40956,0.0,0.0,0.0,0.0
2wmBRL3fcJh2FDQ46Z3ooDjhLWm11Q6KZCTyTFmRYcPzCXeeYe,52560,0.0,0.0,0.0,0.0
2wmFukJAFHhP5oDHLftyqJx3bJL92P2Hv4RFuEEzhUuynTN5LN,27950,0.0,0.0,0.0,0.0
2wmHiAgFMSEaEmDXpEgh8wy65Rxe7jED865UpT883GZCMxcP96,48258,0.0,0.0,0.0,0.0
2wmPJ2TXEhYaBjkKd3sTKTFAWyuCtvrCrbFhZUrVqUjDqj8fu8,36299,0.0,0.0,0.0,0.0
2wmRmSJo5rURqfFCbPX2Dq5ALWNJFGi98n2APpcwdbC3zqDRVW,34281,0.0,0.0,0.0,0.0
2wmaNWmbz2PZQBCvJus9xG16Fg2EMDtGbocMGQEMBLsDzqd9WV,55498,0.0,0.0,0.0,0.0
2wmd3LaS1qHAoP6BSCC2xYeu3H1LHgxTvmEXxsK9gUETw3gsRZ,50096,0.0,0.0,0.0,0.0
2wmv9LieVcc2QoKDUHKrpzHwzE4oWjAFvD2A2W4vouwgzCMAas,52090,0.0,0.0,0.0,0.0
2wmyaDPwVXLhfeMuNUSidkDbihp2LmwUM4osL8ZXbV869f4gHt,36825,0.0,0.0,0.0,0.0
2wn6RmE9X9b2dpUk7jnNJZxgG1cxJ1hdQdptzTBGE6LZjjmcM4,30358,0.0,0.0,0.0,0.0
2wn8oBkqQicUMB81yreMUE5Wz6bHW4kbvDgBLQR8eeYB1KZjEW,79627,0.0,0.0,0.0,0.0
2wn9uPjvkggq3WCMkS5xjMNEMRw3YnMLzhm8eeBF5ue6UM5cMs,20665,0.0,0.0,0.0,0.0
2wnC5P3APBPZ47Fd5SqZVeqhQRRNhHknt3iPQmfzCKPEPtKmQt,14821,0.0,0.0,0.0,0.0
2wnR3yRQEy6Pc7Pp5peb1HXU6hso8QGEakGWoo7ymHGwtH4dNB,63749,0.0,0.0,0.0,0.0
2wnWJ5L3Ce7qZUjhURJ2QyfuKAc43W4WYb637TxufjED43mNBc,30530,0.0,0.0,0.0,0.0
2wnXeXRAJGJv4z1tT9J2xkXF3WnbrUZEDp5pnHi6TRGSp9dp4i,62089,0.0,0.0,0.0,0.0
